epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9994037747383118,0.005497192032635212,0.9333333373069763,0.2916666567325592,0.9992381930351257,0.014055225066840649,0.800000011920929,0.1568627506494522
1,0.9994203448295593,0.005445636343210936,0.9375,0.3125,0.9992878437042236,0.01397744007408619,1.0,0.1764705926179886
2,0.9993044137954712,0.009311025030910969,0.7333333492279053,0.2291666716337204,0.9992381930351257,0.014713509939610958,0.8181818127632141,0.1764705926179886
3,0.9994037747383118,0.004838005639612675,0.875,0.2916666567325592,0.9992216229438782,0.015338750556111336,0.7142857313156128,0.19607843458652496
4,0.9994203448295593,0.004839015658944845,0.8888888955116272,0.3333333432674408,0.9992216229438782,0.016069535166025162,1.0,0.09803921729326248
5,0.9994203448295593,0.005099315196275711,0.9375,0.3125,0.9992381930351257,0.04345379024744034,1.0,0.11764705926179886
6,0.9993541240692139,0.005293009802699089,1.0,0.1875,0.9991884827613831,0.03712647035717964,1.0,0.05882352963089943
7,0.9992547631263733,0.00624663382768631,1.0,0.0625,0.9991884827613831,0.036096688359975815,1.0,0.05882352963089943
8,0.9992547631263733,0.006160068325698376,1.0,0.0625,0.9991884827613831,0.03439367190003395,1.0,0.05882352963089943
9,0.9992547631263733,0.006178052164614201,1.0,0.0625,0.9991884827613831,0.03358849883079529,1.0,0.05882352963089943
