epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,1.0,3.1785205140711235e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
1,1.0,3.178521746666288e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
2,1.0,3.178519281475959e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
3,1.0,3.1785200210330578e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
4,1.0,3.1785210071091893e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
5,1.0,3.178519281475959e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
6,1.0,3.1785205140711235e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
7,1.0,3.1785244583756496e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
8,1.0,3.1785224862233866e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
9,1.0,3.178517062804663e-25,0.0,0.0,1.0,5.351329036784591e-06,0.0,0.0
