epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
1,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
2,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
3,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
4,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
5,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
6,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
7,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
8,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
9,1.0,0.0,0.0,0.0,1.0,2.047980612068681e-16,0.0,0.0
