epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,1.0,3.2417181322583247e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
1,1.0,3.241720407005009e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
2,1.0,3.2417212341856217e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
3,1.0,3.2417193730292435e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
4,1.0,3.2417162711019464e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
5,1.0,3.24171585751164e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
6,1.0,3.2417181322583247e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
7,1.0,3.2417166846922527e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
8,1.0,3.2417181322583247e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
9,1.0,3.241721440980775e-18,0.0,0.0,1.0,8.854282350512221e-05,0.0,0.0
